cycle,phase,y_out
397,00c69bf8f237,009bf31c5c5d99
398,00c75a8932b5,009c88ab8a1f2c
399,00c7c1aed583,009cd99f4ca56b
400,00c81aa0dd35,009d1f6db7d13e
401,00c8fddf82fb,009dd1c634c101
402,00c9184da630,009de6845ec762
403,00c9ee8118dd,009e8e9fe240cb
404,00ca30e20f61,009ec2b81be45a
405,00caaaf17355,009f228343db99
406,00cb05ce500b,009f69d27c11bd
407,00cbe9d22cd3,00a01cc4bf17c8
408,00cc74dc69e9,00a089e2f82903
409,00cceaa4a1d5,00a0e65239fc81
410,00cd6a2c13d4,00a14a67a0f0da
411,00cdbf25ef7e,00a18d17cb78a3
412,00ce07eec80f,00a1c6369828ff
413,00ced06aefa0,00a2638ceb4522
414,00cf5fe3cbbf,00a2d424f58097
415,00cfbbbc3e77,00a31c38f8e1ab
416,00d03a941075,00a37fc401d391
417,00d0e3323bc6,00a404178946e1
418,00d1284e5850,00a43a53baf027
419,00d1ce10fe9c,00a4bc68f1d804
420,00d257e31eaf,00a52890fb8e5a
421,00d2b4e46669,00a5718d83488b
422,00d36f209ede,00a603b3a9d0da
423,00d3d55c0faa,00a653edbdac5e
424,00d4610ed5c2,00a6c18e873c4d
425,00d4e9e751d3,00a72cf21b3c0a
426,00d57deb7cfb,00a7a119add5b2
427,00d5e1114dc2,00a7eee7c744a3
428,00d638e61371,00a833d4679c46
429,00d6b09cdb61,00a891c5fba7ba
430,00d75f9bd0bf,00a91b191a074c
431,00d7e06098c0,00a980257552c9
432,00d83f53b47e,00a9caa7d2cc24
433,00d8a8e2e251,00aa1d7d8103bd
434,00d973fa7de7,00aabcdc42289b
435,00d9c1b5d583,00aaf9db900b72
436,00da5cdea1b9,00ab739cf0021e
437,00dabb934a77,00abbdedee2062
438,00db732c5fe6,00ac4dffec3849
439,00db8238e104,00ac59cefe467a
440,00dc7e29b3fc,00ad1f819c6164
441,00dce203f0c4,00ad6ddc2bca04
442,00dd613256c2,00add1a87dfe58
443,00ddad4d9b5a,00ae0d60cfb26b
444,00de7f73cafe,00aeb247805745
445,00dedd86b7bb,00aefc18f280aa
446,00df716948e2,00af7023c86aea
447,00dfcc13e298,00afb74897ccbe
448,00e00817cb10,00afe66042976a
449,00e0dee97bbd,00b08ef036d451
450,00e15a0a0fb4,00b0ef8d5c5d6d
451,00e1c4e79b89,00b14367d594ac
452,00e2560c91ac,00b1b54b6ed010
453,00e29df61f3b,00b1edb8a13c3e
454,00e317a98d2f,00b24d36e627d7
455,00e3aae0a255,00b2c0ba22284f
456,00e47964fef2,00b362c524edf1
457,00e4e0f280c1,00b3b405a601d0
458,00e520b8a241,00b3e60fccfe38
459,00e5fd52d8fa,00b49327947f69
460,00e67fcff3ff,00b4f98a52ea86
461,00e6f42082e8,00b554cde54fc1
462,00e709042e12,00b56531d36f0c
463,00e7d74e1dae,00b6070dd29298
464,00e810184e20,00b6339cccdd34
465,00e8913e0222,00b698f1a56e34
466,00e91535122a,00b7007c5e0402
467,00e98f1e511e,00b76023869f19
468,00ea75a4f2eb,00b81502db238f
469,00eab704e26e,00b8484deec89b
470,00eb3e502d7c,00b8b274d1a48f
471,00ebc5cb548b,00b91cc1217147
472,00ec1bf8bd37,00b9605e63cd03
473,00ecf0ab00e1,00ba073f8c9069
474,00ed25365c4a,00ba30794ef040
475,00ede69907cd,00bac8336f0941
476,00ee7a328cf4,00bb3c012a2dd7
477,00ee8d623f1a,00bb4b0ec49cd1
478,00ef762484ec,00bc01ac9533f5
479,00ef9687472d,00bc1b15438962
480,00f06e8d45dd,00bcc4915e3a77
481,00f0c7d87a8f,00bd0a9fd833d4
482,00f13c338578,00bd65e98ed254
483,00f193d1f727,00bdaaa7847c80
484,00f209dfc313,00be074626a647
485,00f2ddb797bb,00bead79b54d84
486,00f324d83a49,00bee547369c5f
487,00f38570f60a,00bf310ff9e448
488,00f44b1ce996,00bfcc24c38023
489,00f49725712e,00c007cb60e21e
490,00f533638966,00c0825f2d2313
491,00f5ba982575,00c0ec71bf944d
492,00f64ad39595,00c15d9916b638
493,00f6be43ea7c,00c1b829829ff7
494,00f764824cc9,00c23a95495f19
495,00f7da3761b4,00c296ed158d5b
496,00f856aea8ad,00c2f89222ef39
497,00f886b0e30d,00c31e3be91497
498,00f941bd6783,00c3b0f9816d15
499,00f9827a8d04,00c3e3c32557d4
500,00fa7cf504f9,00c4a842f63b50
501,00fae5063aca,00c4f9e6bfae5f
502,00fb64f9bbc9,00c55e47091006
503,00fbd84988b0,00c5b8bcd9c9e7
504,00fc08098510,00c5de3258711d
505,00fcd659d0ac,00c6800b9421e9
506,00fd6bf823d7,00c6f56ab97349
507,00fd86c8320d,00c70a735fe025
508,00fe69eb0ed3,00c7bca1abf50f
509,00fe97bd872f,00c7e093cb1efa
510,00ff5bd583b7,00c87a67a93cb4
511,00ffaed66b5d,00c8bb847ca6ad
512,010017b47f2f,00c90dc7f9ab14
513,0100cdbf3a9b,00c99c95700d07
514,0101748abbe9,00ca1f6cccb08d
515,0101c690128d,00ca5fc3f470d8
516,0102551cb4aa,00cacf961f0fe9
517,01029be8cf37,00cb071f479265
518,0103746ca8e8,00cbb0f6857961
519,0103e8cd09d1,00cc0c4065a5a6
520,01046ff692df,00cc764690f316
521,0104ac402158,00cca590ed512a
522,01054bac2f97,00cd229e828cc6
523,010594a12e29,00cd5bd8f5531b
524,01066bb0f6d7,00ce048b1d0155
525,0106a6c7134d,00ce32e4155f76
526,01073fd62a7f,00ceaaf34dc174
527,0107dcdc65b9,00cf261e9e23f5
528,01081cd6c239,00cf584dadba10
529,010898fb8331,00cfb9ae2b18a6
530,01097f537dfe,00d06e5bb782e1
531,0109878a880f,00d074cd4cca87
532,010a348ed569,00d0fc8332db23
533,010acd57529a,00d17459f96dc8
534,010b24e90749,00d1b909bbbe14
535,010b9d737a3a,00d217960e0415
536,010c3c1c0e78,00d2940826b675
537,010c92d06025,00d2d80a03fa48
538,010d2b37a856,00d34f93d4792f
539,010de99b1cd3,00d3e4e8976695
540,010e005d5100,00d3f6c25a1cc3
541,010ef4588ee8,00d4b61fc44a93
542,010f503c40a0,00d4fe324593bc
543,010fe8c14fd1,00d575d29d48ea
544,01106d4d78da,00d5ddc8977d50
545,0110e05dbbc0,00d63807e0d626
546,011168cfb0d1,00d6a30c2f7dfb
547,0111a8e1ee51,00d6d54cc27a0a
548,0112598367b3,00d75fd57978de
549,0112c049c680,00d7b070f63257
550,01132426d748,00d7fec3d17dc5
551,011398b4dc31,00d85a2de1a2d7
552,011441b1fd83,00d8deb78b98c6
553,011480029100,00d90f9714140f
554,01153f52937e,00d9a5a28c2ef5
555,0115c72dfb8e,00da102f906f39
556,0116742819e8,00da97d93758af
557,01168569fa0a,00daa5620fcd21
558,011728bfc851,00db257b9ec1e4
559,011792fd2825,00db78cdc00ce7
560,01182c509c58,00dbf10d6503e0
561,011897dde22f,00dc4566bc262c
562,011913b75327,00dca68809896c
563,0119ca0e4494,00dd358839d687
564,011a1e32673c,00dd778517196f
565,011ab7b82a6f,00ddefeb5f35f9
566,011b7bde15f7,00de89bf327e64
567,011bb9092f72,00deb9b7a4d553
568,011c71f059e3,00df4ab97337d4
569,011ce5ceb0cb,00dfa5977f4870
570,011d18b4ee31,00dfcd82254de7
571,011daad1c855,00e04017df7239
572,011e2f49535e,00e0a7f9eacb6c
573,011edaf356b5,00e12e98f5c545
574,011f4118be82,00e17eb38dd25d
575,011fd807f2b0,00e1f51099e9a0
576,012019183032,00e22816723526
577,0120af73fb5e,00e29dff9f860b
578,01213ec2677d,00e30e60dad2f2
579,0121c6878a8d,00e378d8feb16a
580,012278d3d8f1,00e404aa7d640e
581,0122f29a7fe5,00e46428f8df1d
582,012311c6c523,00e47c9ae7f879
583,012398e87131,00e4e69253dc24
584,01245a0f27b4,00e57e08d5a394
585,0124b22cc164,00e5c321aafe03
586,01252416b948,00e61c754e051e
587,0125cdfe879b,00e6a1b0c127a5
588,012635f8fa6b,00e6f3399f1eff
589,0126f1eca2e3,00e7869b4d8f53
590,01276cff24d9,00e7e71cd4b7bc
591,0127f059ace0,00e84e1c9d4e40
592,01280edc361d,00e866091e51a8
593,012893180326,00e8cdb95c566d
594,012904a8e809,00e926c631980b
595,0129b5c5c06b,00e9b1a6f065d3
596,012a7b9fb8f7,00ea4cca5d4a09
597,012aabe8c057,00ea72a6c96af0
598,012b2798e34f,00ead3a2e6ec40
599,012b8ecaa21d,00eb248d2d30aa
600,012c23466346,00eb98fa3465da
601,012ccf14c19e,00ec1fb08e0b73
602,012d2a2ff554,00ec67200df759
603,012da62c344c,00ecc857299a8b
604,012e286f1350,00ed2e79dc57a5
605,012ec34ddc86,00eda7e8054f5e
606,012f5c2afdb8,00ee1fc33b0e8a
607,012fd06a57a0,00ee7ae895608f
608,013004d4aa09,00eea4016bcc51
609,0130aac1fa55,00ef261a3d3158
610,01315c22dcb8,00efb12d514572
611,0131eb40e6d6,00f021635d4305
612,013254ce0aa9,00f074252a9ee4
613,01329a9af535,00f0aadf279f17
614,01335b0c73b6,00f141c12aee76
615,0133ad27c45a,00f1822101a3d9
616,013412ce1125,00f1d1d3449609
617,0134a27eb144,00f2427b5b9ba8
618,01354fb89e9f,00f2ca4b755187
619,0135e4d2d3c9,00f33f3174e355
620,013642e39d85,00f388f10b0f69
621,0136c40f0988,00f3ee361d9070
622,01371a544234,00f431d8fd312a
623,0137a8b1f151,00f4a1765c1201
624,01380e39901c,00f4f10fa5b624
625,0138da69e2b4,00f5912494196a
626,013917e83f2f,00f5c15a57f9bd
627,0139f670fcec,00f66fd0a87322
628,013a4e96ca9d,00f6b4eba7fa41
629,013af1a919e3,00f734c37b3aea
630,013b25d9704b,00f75dad864d07
631,013bc277d784,00f7d87600c688
632,013c09de2c13,00f8106f70c901
633,013c8e62911c,00f878529b786a
634,013d1568bb2a,00f8e22cba2a91
635,013df76a61ee,00f99359d1e205
636,013e5d8e95bb,00f9e36c5d0f44
637,013ee52825ca,00fa4db9769551
638,013f0f32fa1e,00fa6eaec390d9
639,013fe5a879cb,00fb16cd6c827e
640,01405a42e4b4,00fb7235bca6b8
641,01408207bb04,00fb9162a92776
642,014166b110cd,00fc44a2be2dc2
643,0141a2ce0045,00fc73c2391af3
644,01424f31fc9e,00fcfae55e35ed
645,0142e00b2dc0,00fd6c712af8d4
646,01435db7e1bb,00fdcef510501d
647,0143d932d8b2,00fe2fc0795bc4
648,014405aeb90b,00fe529f3e096b
649,0144f0b860e1,00ff0adcef538b
650,014557f844af,00ff5bcc28a341
651,0145876adf0e,00ff80fd8284ad
652,01466ca7ffd9,010034aeb1575c
653,014693913127,0100532ede455f
654,01477e7f21fc,01010b5566413e
655,0147afc5f25f,010131f583436d
656,01483428aa68,010199ba9de439
657,0148fd9380fb,0102379b9e9eee
658,0149533554a6,01027abab38e98
659,0149f7cff6ef,0102fbc036eb49
660,014a58d79db1,010347ce264d29
661,014a90b93021,0103739b2bc54e
662,014b345fbf68,0103f3e0dfd51e
663,014bb7d0ca6f,01045ae768ab2b
664,014c1f77b73e,0104ac25b17a3a
665,014ca3781f46,0105139c4ccda5
666,014d501f40a0,01059aef7b4355
667,014dfa4c4df4,0106205164f526
668,014e0067d700,0106251adfefa3
669,014eb8422d70,0106b534be1753
670,014f07f0b90f,0106f3a8b4da79
671,014feb825dd7,0107a605864d4d
672,01500322de06,0107b88a272636
673,0150a505394a,0108376b3f2b37
674,0151442d0788,0108b42896f984
675,0151b8eedd71,01090faadf7d9d
676,015209bfac13,01094f01bbc9a7
677,0152aaab2455,0109cd20820560
